id,problem,A,B,C,D,answer
1,苏铁的拉丁学名是,Cycas rumphii,Cycas revoluta,Pinus massoniana,Pinus bungeana,B 
2,银杏的拉丁学名是,Ginkgo biloba,Larix principis-rupprechtii,Abies holophylla,Picea meyeri,A
3,辽东冷杉的拉丁学名是,Larix principis-rupprechtii,Picea wilsonii,Picea wilsonii,Abies holophylla,D
4,白杄的拉丁学名是,Pseudolarix amabilis,Picea meyeri,Larix principis-rupprechtii,Picea wilsonii,B 
5,青杄的拉丁学名是,Pinus massoniana,Cedrus deodara,Picea meyeri,Picea wilsonii,D
6,华北落叶松的拉丁学名是,Pinus tabuliformis,Cedrus deodara,Larix principis-rupprechtii,Pseudolarix amabilis,C
7,金钱松的拉丁学名是,Pinus armandii,Pinus tabuliformis,Pseudolarix amabilis,Pseudolarix amabilis,D
8,雪松的拉丁学名是,Cunninghamia lanceolata,Pseudolarix amabilis,Pinus tabuliformis,Cedrus deodara,D
9,马尾松的拉丁学名是,Pinus bungeana,Pinus armandii,Pinus massoniana,Pinus tabuliformis,C
10,油松的拉丁学名是,Pinus bungeana,Pinus armandii,Pinus massoniana,Pinus tabuliformis,D
11,白皮松的拉丁学名是,Pinus bungeana,Pinus armandii,Pinus massoniana,Pinus tabuliformis,A
12,华山松的拉丁学名是,Pinus bungeana,Pinus armandii,Pinus massoniana,Pinus tabuliformis,B 
13,杉木的拉丁学名是,Cryptomeria fortunei,Cunninghamia lanceolata,Cedrus deodara,Chamaecyparis obtusa,B 
14,柳杉的拉丁学名是,Cryptomeria fortunei,Cunninghamia lanceolata,Cedrus deodara,Chamaecyparis obtusa,A
15,水杉的拉丁学名是,Cryptomeria fortunei,Platycladus orientalis,Chamaecyparis obtusa,Metasequoia glyptostroboides,D
16,侧柏的拉丁学名是,Cephalotaxus sinensis,Taxus cuspidata,Platycladus orientalis,Sabina chinensis,C
17,日本扁柏的拉丁学名是,Cryptomeria fortunei,Cunninghamia lanceolata,Cedrus deodara,Chamaecyparis obtusa,D
18,圆柏（桧柏）的拉丁学名是,Chamaecyparis obtusa,Taxus cuspidata,Sabina chinensis,Cunninghamia lanceolata,C
