id,questions,A,B,C,D,answer
1,蓍草类的拉丁学名是,Aquilegia,Arrhenatherum,Aconitum,Achillea,D
2,乌头类的拉丁学名是,Arrhenatherum,Aquilegia,Achillea,Aconitum,D
3,菖蒲的拉丁学名是,Alternanthera amoena,Antirrhinum majus,Acorus calamus,Althaea rosea,C
4,铁线蕨的拉丁学名是,Alternanthera bettzickiana,Adiantum capillus-veneris,Alternanthera amoena,Amaranthus tricolor,B
5,尖萼凤梨属的拉丁学名是,Spathiphyllum,Guzmania,Aechmea,Vriesea,C
6,藿香蓟的拉丁学名是,Adiantum capillus-veneris,Antirrhinum majus,Ageratum conyzoides,Amaranthus tricolor,C
7,广东万年青属的拉丁学名是,Anthurium,Asparagus,Aglaonema,Aconitum,C
8,大花葱的拉丁学名是,Aspidistra elatior,Althaea rosea,Allium giganteum,Adiantum capillus-veneris,C
9,红草五色苋的拉丁学名是,Alternanthera amoena,Antirrhinum majus,Catharanthus roseus,Coreopsis tinctoria,A
10,五色苋的拉丁学名是,Alternanthera bettzickiana,Antirrhinum majus,Alternanthera amoena,Amaranthus tricolor,A
11,蜀葵的拉丁学名是,Aster novi-belgii,Althaea rosea（=Alcea rosea）,Aster tataricus,Astilbe chinensis,B
12,庭荠类的拉丁学名是,Aquilegia,Achillea,Alyssum,Arrhenatherum,C
13,雁来红的拉丁学名是,Alternanthera bettzickiana,Antirrhinum majus,Alternanthera amoena,Amaranthus tricolor,D
14,花烛属的拉丁学名是,Anthurium,Achillea,Aechmea,Aglaonema,A
15,金鱼草的拉丁学名是,Adiantum capillus-veneris,Antirrhinum majus,Ageratum conyzoides,Amaranthus tricolor,B
16,耧斗菜的拉丁学名是,Arrhenatherum,Aquilegia,Achillea,Alyssum,B
17,丽蚌草、银边草的拉丁学名是,Astilbe chinensis,Althaea rosea,Arrhenatherum elatius var. bulbosum ‘Variegatum’,Aster novi-belgii,C
18,天门冬属的拉丁学名是,Zebrina,Asparagus,Aechmea,Vriesea,B
19,一叶兰的拉丁学名是,Aspidistra elatior,Adiantum capillus-veneris,Sansevieria trifasciata,Schefflera arboricola,A
20,荷兰菊的拉丁学名是,Astilbe chinensis,Aster tataricus,Aster novi-belgii,Althaea rosea,C
21,紫菀的拉丁学名是,Astilbe chinensis,Aster tataricus,Aster novi-belgii,Althaea rosea,B
22,落新妇的拉丁学名是,Astilbe chinensis,Aster tataricus,Aster novi-belgii,Althaea rosea,A
23,球根秋海棠的拉丁学名是,Begonia rex,Begonia tuberhybrida,Begonia semperflorens,Begonia × elatior,B
24,四季秋海棠的拉丁学名是,Begonia rex,Begonia tuberhybrida,Begonia semperflorens,Begonia × elatior,C
25,丽格秋海棠的拉丁学名是,Begonia rex,Begonia tuberhybrida,Begonia semperflorens,Begonia × elatior,D
26,蟆叶秋海棠的拉丁学名是,Begonia rex,Begonia tuberhybrida,Begonia semperflorens,Begonia × elatior,A
27,雏菊的拉丁学名是,Brassica oleracea var. acephala f. tricolor,Calendula officinalis,Bellis perennis,Antirrhinum majus,C
28,水塔花的拉丁学名是,Billbergia pyramidalis,Begonia tuberhybrida,Begonia semperflorens,Bellis perennis,A
29,羽衣甘蓝的拉丁学名是,Celosia cristata,Brassica oleracea var. acephala f. tricolor,Calendula officinalis,Bellis perennis,B
30,花叶芋的拉丁学名是,Calceolaria herbeohybrida,Caladium hortullanum,Calendula officinalis,Codiaeum variegatum var. pictum,B
31,肖竹芋属的拉丁学名是,Calathea,Cattleya,Maranta,Cordyline,A
