id,chinese,latin,family,category,definition
1,苏铁,Cycas revoluta,苏铁科,苏铁属,Cycas，源于kykas，原义是一种在埃及生长的棕榈。借用该词用做苏铁的属名是因为苏铁外形似棕榈。 ##revoluta，外卷的、反卷的（源自revolutivus，revolutus），与英文之revolution（革命）一词有相同词源。与revolutifolius（反卷叶的），revolubilis（外卷的、反卷的）相似。  
2,银杏,Ginkgo biloba,银杏科,银杏属,Ginkgo，(日)来源于粤语‘金果’。##"biloba，二浅裂的（源自bilobatus,bilobus），bi-二，-loba分裂的。银杏叶片先端二浅裂。"
3,辽东冷杉,Abies holophylla,松科,冷杉属,Abies，源于拉丁词abeo，意即升起来，指植株高大。##holo-完整的，-phylla叶片。
4,白杄,Picea meyeri,松科,云杉属,picea，源于拉丁词picea，意即松脂。##meyeri，人名。该种亦称Meyer's Spruce（麦氏云杉）
5,青杄,Picea wilsonii,松科,云杉属,wilsonii，人名。该种亦称Wilson's Spruce
6,华北落叶松,Larix principis-rupprechtii,松科,落叶松属,Larix，源于拉丁词larix，意即落叶松##principis-rupprechtii（巴伐利亚王储鲁伯希特，1869-1955年）。该种亦称Prince Rupprecht's Larch
7,金钱松,Pseudolarix amabilis,松科,金钱松属,Pseudolarix，Pseudo来源于希腊文pseudes（假的），Larix是落叶松属，意即金钱松属植物象落叶松属植物。##amabilis，可爱的，尤指秋叶金黄，状若金钱。
8,雪松,Cedrus deodara,松科,雪松属,Cedrus源于希腊文kedros，意即雪松。##Deodara，神树，源于梵文devadaru。雪松在有些国家是被当作神树看待的，如印度、黎巴嫩等地。
9,马尾松,Pinus massoniana,松科,松属,Pinus源于拉丁词pinus（松），英文pine（松）词源相同。##massoniana，人名。
10,油松,Pinus tabuliformis,松科,松属,tabulaeformis，平台状的。油松枝条轮生，老年油松封顶后为平头。英文table也与tabulae有相似词源。
11,白皮松,Pinus bungeana,松科,松属,bungeana，人名，在植物拉丁学名中出现的频率很高。
12,华山松,Pinus armandii,松科,松属,armandii，人名，在植物拉丁学名中经常出现。
